"","기업명","본사주소","직원수","2020년매출액(천원)","입사율(연간 입사자)","퇴사율(연간 퇴사자"
"86","피앤피시큐어","경기 성남시 분당구 대왕판교로645번길 16","100명 이상 ~ 200명 미만",NA,"14.93 % (20 명)","8.96 % (12 명)"
"87","쎄트렉아이","대전 유성구 유성대로1628번길 21","200명 이상 ~ 400명 미만","81,736,208","21.86 % (61 명)","7.17 % (20 명)"
"88","SK텔레콤","서울 중구 을지로 65","1,000명 이상","11,746,630,000","9.24 % (491 명)","10.39 % (552 명)"
"89","기아","서울 서초구 헌릉로 12","1,000명 이상","34,362,327,000","4.16 % (521 명)","3.29 % (412 명)"
"90","코리안리보험",NA,NA,NA,NA,NA
"91","한국지방정공제회",NA,NA,NA,NA,NA
"92","한국인삼공사","대전 대덕구 벚꽃길 71","1,000명 이상","1,333,565,072","15.97 % (167 명)","15.20 % (159 명)"
"93","경기주택도시공사","경기 수원시 권선구 권중로 46","700명 이상 ~ 1000명 미만","5000억 이상 ~","50.50 % (302 명)","19.23 % (115 명)"
"94","서울도시가스","서울 강서구 공항대로 607","400명 이상 ~ 700명 미만","1,271,968,265","3.82 % (19 명)","5.22 % (26 명)"
"95","클래스팅",NA,NA,NA,NA,NA
"96","한국거래소","부산 남구 문현금융로 40","700명 이상 ~ 1000명 미만","496,890,004","13.49 % (128 명)","12.43 % (118 명)"
"97","램리서치코리아","경기 성남시 분당구 판교로255번길 28, 4층","100명 이상 ~ 200명 미만","5000억 이상 ~","21.13 % (30 명)","11.97 % (17 명)"
"98","한국과학기술정보연구원","대전 유성구 대학로 245","400명 이상 ~ 700명 미만","1000억원 ~ 5000억원","32.21 % (191 명)","30.02 % (178 명)"
"99","한국농수산식품유통공사","전남 나주시 문화로 227","700명 이상 ~ 1000명 미만","1000억원 ~ 5000억원","35.27 % (316 명)","30.80 % (276 명)"
"100","한국전력공사","전남 나주시 전력로 55","1,000명 이상","57,989,410,000","4.50 % (1044 명)","4.82 % (1120 명)"
"101","한국전력기술","경북 김천시 혁신로 269","1,000명 이상","431,722,626","11.64 % (264 명)","13.44 % (305 명)"
"102","경남에너지","경남 창원시 성산구 연덕로 18","200명 이상 ~ 400명 미만","592,110,043","8.19 % (19 명)","6.47 % (15 명)"
"103","네이버","경기 성남시 분당구 불정로 6","1,000명 이상","4,126,629,313","43.46 % (1782 명)","28.71 % (1177 명)"
"104","한국표준과학연구원",NA,NA,NA,NA,NA
"105","파이브센스","서울 금천구 가산디지털1로 88, 1401호","20명 이상 ~ 40명 미만","10억원 ~ 50억원","66.67 % (18 명)","70.37 % (19 명)"
"106","국방과학연구소","대전 유성구 북유성대로488번길 160","1,000명 이상",NA,"8.77 % (278 명)","8.65 % (274 명)"
"107","서울올림픽기념국민체육진흥공단","서울 송파구 올림픽로 424","-","5000억 이상 ~","0.00 % (0 명)","0.00 % (0 명)"
"108","이씨에스텔레콤","서울 서초구 반포대로28길 8, 2 4층","100명 이상 ~ 200명 미만","70,398,030","15.76 % (26 명)","12.73 % (21 명)"
"109","제이디자인웍스","서울 금천구 가산디지털1로 145, 1604호","20명 이상 ~ 40명 미만","10억원 ~ 50억원","12.00 % (3 명)","12.00 % (3 명)"
"110","캐플릭스","제주 제주시 신광로 21, 4층","70명 이상 ~ 100명 미만","100억원 ~ 500억원","218.92 % (81 명)","100.00 % (37 명)"
"111","케이티앤지","대전 대덕구 벚꽃길 71","1,000명 이상","3,435,384,230","14.28 % (606 명)","18.28 % (776 명)"
"112","디에이전시","서울 금천구 가산디지털2로 98, 1동 708호,709호","20명 이상 ~ 40명 미만",NA,"100.00 % (18 명)","55.56 % (10 명)"
"113","서울보증보험","서울 종로구 김상옥로 29","1,000명 이상",NA,"18.67 % (303 명)","19.10 % (310 명)"
"114","신세계엘앤비","서울 광진구 아차산로 563, 7층","200명 이상 ~ 400명 미만","145,394,205","69.87 % (313 명)","60.27 % (270 명)"
"115","아마존웹서비스",NA,NA,NA,NA,NA
"116","한국철도기술연구원","경기 의왕시 철도박물관로 176","400명 이상 ~ 700명 미만","500억원 ~ 1000억원","60.98 % (261 명)","62.85 % (269 명)"
"117","한국코카콜라","경기 의왕시 고천공업로 5","100명 이상 ~ 200명 미만","250,920,264","37.07 % (43 명)","25.00 % (29 명)"
"118","()한국농촌경제연구원","전남 나주시 빛가람로 601","200명 이상 ~ 400명 미만",NA,"34.01 % (100 명)","35.37 % (104 명)"
"119","온다","서울 강남구 테헤란로83길 49, 2층","70명 이상 ~ 100명 미만","50억원 ~ 100억원","87.50 % (49 명)","39.29 % (22 명)"
"120","대구텍","대구 달성군 가창면 가창로 1040","1,000명 이상",NA,"8.04 % (97 명)","4.56 % (55 명)"
"121","우리에프아이에스","서울 마포구 월드컵북로60길 17","1,000명 이상","248,944,263","3.52 % (38 명)","9.54 % (103 명)"
"122","한국다우케미칼","서울 강남구 영동대로 520, 5층","70명 이상 ~ 100명 미만","426,376,125","13.51 % (10 명)","8.11 % (6 명)"
"123","한국산업기술평가관리원","대구 동구 첨단로8길 32","400명 이상 ~ 700명 미만","5000억 이상 ~","17.51 % (73 명)","15.35 % (64 명)"
"124","한국에너지기술연구원",NA,NA,NA,NA,NA
"125","한화디펜스","경남 창원시 성산구 공단로 69","1,000명 이상","1,442,477,206","14.38 % (46 명)","13.13 % (42 명)"
"126","나음케어","경기 성남시 수정구 위례광장로 9-9, 313호","100명 이상 ~ 200명 미만","37,293,063","53.85 % (49 명)","35.16 % (32 명)"
"127","뷰노","서울 서초구 강남대로 479, 9층","100명 이상 ~ 200명 미만","1,257,219","76.64 % (105 명)","41.61 % (57 명)"
"128","에듀윌","서울 구로구 디지털로34길 55, 310호","400명 이상 ~ 700명 미만","119,264,173","49.02 % (350 명)","29.69 % (212 명)"
"129","지에스칼텍스여수공장",NA,NA,NA,NA,NA
"130","캠프모바일","서울 서초구 강남대로 369, 5층,6층,7층",NA,NA,NA,NA
"131","코리아신탁","서울 강남구 테헤란로 508, 10층","200명 이상 ~ 400명 미만",NA,"35.16 % (64 명)","21.98 % (40 명)"
"132","콩테크","경기 성남시 분당구 대왕판교로 660, B동 1203호","40명 이상 ~ 70명 미만","10억원 ~ 50억원","141.38 % (41 명)","44.83 % (13 명)"
"133","국민건강보험공단","강원 원주시 건강로 32","1,000명 이상",NA,"24.06 % (3799 명)","25.25 % (3988 명)"
"134","국민연금공단","전북 전주시 덕진구 기지로 180","1,000명 이상","5000억 이상 ~","16.86 % (1194 명)","16.09 % (1139 명)"
"135","아이비케이캐피탈","서울 강남구 테헤란로 414","200명 이상 ~ 400명 미만",NA,"7.47 % (18 명)","6.64 % (16 명)"
"136","오픈서베이","서울 서초구 서초대로78길 5, 10층","70명 이상 ~ 100명 미만","50억원 ~ 100억원","61.43 % (43 명)","25.71 % (18 명)"
"137","카이아이컴퍼니","대전 유성구 테크노중앙로 55, 901-이호","20명 이상 ~ 40명 미만","10억원 ~ 50억원","100.00 % (27 명)","77.78 % (21 명)"
"138","강남대성학원","서울 강남구 테헤란로4길 39","100명 이상 ~ 200명 미만","25,475,181","104.07 % (179 명)","116.86 % (201 명)"
"139","금융감독원","서울 영등포구 여의대로 38","1,000명 이상",NA,"8.18 % (178 명)","9.24 % (201 명)"
"140","대한지방행정공제회","서울 용산구 한강대로 140","100명 이상 ~ 200명 미만","5000억 이상 ~","11.68 % (16 명)","8.03 % (11 명)"
"141","서울특별시도시철도공사","서울 성동구 천호대로 346",NA,NA,NA,NA
"142","수도권매립지관리공사","인천 서구 자원순환로 170","200명 이상 ~ 400명 미만","1000억원 ~ 5000억원","15.25 % (52 명)","16.42 % (56 명)"
"143","신용협동조합중앙회","대전 서구 한밭대로 745","400명 이상 ~ 700명 미만",NA,"13.96 % (85 명)","16.75 % (102 명)"
"144","엠비아이솔루션","서울 마포구 삼개로 21, 제2별관 501호","40명 이상 ~ 70명 미만",NA,"53.70 % (29 명)","38.89 % (21 명)"
"145","한국마사회","경기 과천시 경마공원대로 107","1,000명 이상","5000억 이상 ~","11.83 % (605 명)","20.84 % (1066 명)"
"146","한국전기연구원",NA,NA,NA,NA,NA
"147","코그","대구 중구 국채보상로 586, 14층","200명 이상 ~ 400명 미만","29,765,810","30.77 % (64 명)","25.00 % (52 명)"
"148","크레비스파트너스","서울 성동구 왕십리로 88, 4층","70명 이상 ~ 100명 미만","100억원 ~ 500억원","58.33 % (42 명)","41.67 % (30 명)"
"149","플랜잇파트너스","서울 강남구 테헤란로20길 20, 9층","40명 이상 ~ 70명 미만",NA,"51.02 % (25 명)","36.73 % (18 명)"
"150","사립학교교직원연금공단","전남 나주시 문화로 245","20명 이상 ~ 40명 미만","5000억 이상 ~","256.25 % (82 명)","234.38 % (75 명)"
"151","서울신용보증단",NA,NA,NA,NA,NA
"152","송원산업","울산 남구 장생포로 83","400명 이상 ~ 700명 미만","618,476,000","2.15 % (14 명)","4.60 % (30 명)"
"153","양키캔들리테일",NA,NA,NA,NA,NA
"154","한전KPS","전남 나주시 문화로 211","1,000명 이상","1,299,186,315","17.69 % (1126 명)","16.93 % (1078 명)"
"155","금호미쓰이화학","서울 중구 청계천로 100","200명 이상 ~ 400명 미만","742,857,789","25.00 % (49 명)","4.08 % (8 명)"
"156","에스에이피코리아","서울 강남구 남부순환로 2806, 28층","400명 이상 ~ 700명 미만","418,380,869","22.93 % (94 명)","19.51 % (80 명)"
"157","더스윙","서울 강남구 선릉로 577, 3층","40명 이상 ~ 70명 미만","10억원 ~ 50억원","231.03 % (67 명)","127.59 % (37 명)"
"158","스텍","서울 구로구 디지털로 243, 1801호","40명 이상 ~ 70명 미만","36,342,013","35.71 % (15 명)","38.10 % (16 명)"
"159","이랜서",NA,NA,NA,NA,NA
"160","테이블링",NA,NA,NA,NA,NA
"161","대학내일","서울 마포구 독막로 331","200명 이상 ~ 400명 미만","47,275,923","32.17 % (92 명)","17.48 % (50 명)"
"162","예스코","서울 성동구 자동차시장길 23","200명 이상 ~ 400명 미만","856,231,745","4.68 % (14 명)","4.35 % (13 명)"
"163","팀프레시","서울 송파구 위례성대로12길 15-1, 2층","200명 이상 ~ 400명 미만","33,669,212","171.79 % (268 명)","85.26 % (133 명)"
