"","기업명","본사주소","직원수","2020년매출액(천원)","입사율(연간 입사자)","퇴사율(연간 퇴사자"
"4220","브링스코리아","서울 광진구 천호대로 540","400명 이상 ~ 700명 미만","30,388,706","24.52 % (116 명)","47.57 % (225 명)"
"4221","블랙야크","경남 창원시 마산회원구 합성동4길 3",NA,NA,NA,NA
"4222","비젠트로","경기 성남시 분당구 대왕판교로 660, A동 1007호","100명 이상 ~ 200명 미만","22,987,733","21.43 % (33 명)","24.03 % (37 명)"
"4223","삼박엘에프티","충남 예산군 예산읍 간양길166번길 16-20","100명 이상 ~ 200명 미만","85,222,241","40.18 % (45 명)","35.71 % (40 명)"
"4224","상아프론테크","인천 남동구 남동대로369번길 18","400명 이상 ~ 700명 미만","109,742,451","20.55 % (98 명)","16.98 % (81 명)"
"4225","성광벤드","부산 강서구 녹산산단262로 26","200명 이상 ~ 400명 미만","168,177,168","6.19 % (18 명)","7.22 % (21 명)"
"4226","세원이앤씨","경남 창원시 성산구 공단로 211","200명 이상 ~ 400명 미만","109,931,867","17.65 % (51 명)","11.76 % (34 명)"
"4227","스노우피크코리아",NA,NA,NA,NA,NA
"4228","스틱인터랙티브","서울 종로구 율곡로 33, 10층, 11층","70명 이상 ~ 100명 미만","100억원 ~ 500억원","70.18 % (40 명)","29.82 % (17 명)"
"4229","신라파이어","인천 남동구 은봉로75번길 20","40명 이상 ~ 70명 미만","26,543,796","24.19 % (15 명)","35.48 % (22 명)"
"4230","아이비케이서비스","서울 마포구 마포대로 20, 7층","1,000명 이상","63,332,955","15.16 % (209 명)","16.61 % (229 명)"
"4231","아프로파이낸셜대부","서울 중구 세종대로 39, 10층 100호","200명 이상 ~ 400명 미만",NA,"32.15 % (118 명)","61.31 % (225 명)"
"4232","알에프세미","대전 유성구 죽동로 141","200명 이상 ~ 400명 미만","32,460,844","13.73 % (42 명)","21.57 % (66 명)"
"4233","어드밴텍케이알","서울 강서구 강서로 463, 4층","100명 이상 ~ 200명 미만","77,104,239","35.96 % (41 명)","28.07 % (32 명)"
"4234","에스엔유프리시젼","충남 아산시 둔포면 아산밸리남로 124","100명 이상 ~ 200명 미만","101,697,263","25.35 % (36 명)","18.31 % (26 명)"
"4235","에이엔피","인천 남동구 남동대로 248","200명 이상 ~ 400명 미만","82,078,262","4.70 % (14 명)","16.11 % (48 명)"
"4236","엠코르셋",NA,NA,NA,NA,NA
"4237","오지큐","전북 익산시 여산면 외사길 22-1",NA,NA,NA,NA
"4238","우리이앤엘","경기 안산시 단원구 성곡로 79","100명 이상 ~ 200명 미만","114,377,114","63.51 % (47 명)","25.68 % (19 명)"
"4239","우리조명지주",NA,NA,NA,NA,NA
"4240","우원개발","서울 서초구 강남대로 279, 8층","200명 이상 ~ 400명 미만","167,002,835","253.99 % (955 명)","102.13 % (384 명)"
"4241","웰시스","서울 서초구 강남대로 365","200명 이상 ~ 400명 미만","13,140,239","41.95 % (138 명)","51.06 % (168 명)"
"4242","윈플러스","충북 청주시 흥덕구 오송읍 쌍청1길 11","40명 이상 ~ 70명 미만","16,430,236","52.50 % (21 명)","27.50 % (11 명)"
"4243","이루온","경기 성남시 분당구 대왕판교로 660, A동 905호","70명 이상 ~ 100명 미만","21,501,699","12.35 % (10 명)","9.88 % (8 명)"
"4244","이텍산업","울산 남구 화합로120번길 8",NA,NA,NA,NA
"4245","인터지스","부산 중구 충장대로9번길 52","400명 이상 ~ 700명 미만","418,388,179","10.61 % (45 명)","9.91 % (42 명)"
"4246","일진디스플레이","충북 음성군 대소면 대금로 157","200명 이상 ~ 400명 미만","67,685,415","32.43 % (36 명)","81.08 % (90 명)"
"4247","자일대우버스","경기 부천시 오정로 215","200명 이상 ~ 400명 미만","127,262,835","559.68 % (347 명)","120.97 % (75 명)"
"4248","영솔루텍","인천 연수구 갯벌로 118","70명 이상 ~ 100명 미만","88,642,656","20.95 % (22 명)","36.19 % (38 명)"
"4249","젬스메디컬","경기 성남시 중원구 둔촌대로541번길 29, 2층 동방렌탈","-",NA,"0.00 % (0 명)","0.00 % (0 명)"
"4250","지지무역","서울 중구 장충단로 192","100명 이상 ~ 200명 미만","182,290,936","32.93 % (54 명)","26.22 % (43 명)"
"4251","칸","경남 거제시 용소1길 105, 4층","40명 이상 ~ 70명 미만","40,123,956","247.62 % (156 명)","198.41 % (125 명)"
"4252","케이티뮤직",NA,NA,NA,NA,NA
"4253","코스모화학","서울 서초구 반포대로 43",NA,"112,794,562",NA,NA
"4254","코코아비전","서울 성동구 아차산로 38, 8층","70명 이상 ~ 100명 미만","10억원 ~ 50억원","96.15 % (50 명)","46.15 % (24 명)"
"4255","키트랩스",NA,NA,NA,NA,NA
"4256","토펙엔지니어링건축사사무소","서울 강남구 논현로28길 29","400명 이상 ~ 700명 미만","31,990,024","33.73 % (57 명)","37.87 % (64 명)"
"4257","트랜덱스","경기 광주시 오포읍 오포안로 226","40명 이상 ~ 70명 미만","21,226,277","49.15 % (29 명)","69.49 % (41 명)"
"4258","퓨리텍","경기 평택시 산단로 63-16","100명 이상 ~ 200명 미만","51,972,062","10.88 % (21 명)","15.54 % (30 명)"
"4259","하나마이크론","충남 아산시 음봉면 연암율금로 77","700명 이상 ~ 1000명 미만","311,271,481","44.98 % (327 명)","25.03 % (182 명)"
"4260","한국문화진흥","서울 강남구 영동대로 326","40명 이상 ~ 70명 미만","52,829,987","25.93 % (21 명)","60.49 % (49 명)"
"4261","한국알프스","광주 광산구 하남산단5번로 33","700명 이상 ~ 1000명 미만","703,731,143","5.08 % (38 명)","8.96 % (67 명)"
"4262","한영시스텍","서울 송파구 송파대로 201, B동 1718호","70명 이상 ~ 100명 미만",NA,"27.78 % (25 명)","26.67 % (24 명)"
"4263","한일전기","강원 원주시 우산공단길 10","200명 이상 ~ 400명 미만","150,506,769","1.69 % (6 명)","17.70 % (63 명)"
"4264","현대정보기술","서울 금천구 가산디지털2로 179","-",NA,"0.00 % (0 명)","0.00 % (0 명)"
"4265","현대하이라이프손해사정","서울 영등포구 당산로 141, 8층","700명 이상 ~ 1000명 미만","68,738,910","5.66 % (47 명)","13.96 % (116 명)"
"4266","홍콩상하이은행서울지점","서울 중구 칠패로 37","400명 이상 ~ 700명 미만",NA,"15.84 % (83 명)","15.08 % (79 명)"
"4267","화승인더스트리","부산 연제구 중앙대로 1079, 6층",NA,"926,398,636",NA,NA
"4268","히로세코리아","경기 시흥시 공단1대로 143","700명 이상 ~ 1000명 미만","354,869,917","11.86 % (86 명)","11.86 % (86 명)"
"4269","히타치금속한국","경기 시흥시 공단3대로 333, 1010호","100명 이상 ~ 200명 미만","190,375,463","7.27 % (8 명)","10.00 % (11 명)"
"4270","마크로젠","서울 금천구 벚꽃로 254, 10층","400명 이상 ~ 700명 미만","90,534,090","38.19 % (186 명)","28.95 % (141 명)"
"4271","베스파","서울 강남구 테헤란로83길 15, 9층","100명 이상 ~ 200명 미만","66,101,055","25.36 % (88 명)","83.57 % (290 명)"
"4272","부자이웃","서울 도봉구 노해로 391, 6층 1호","1명 이상 ~ 20명 미만",NA,"36.36 % (4 명)","45.45 % (5 명)"
"4273","심팩","서울 성동구 성수이로24길 38, 203호","1명 이상 ~ 20명 미만","10억원 ~ 50억원","22.22 % (2 명)","55.56 % (5 명)"
"4274","약진통상","서울 송파구 위례성대로 138","400명 이상 ~ 700명 미만","586,496,285","57.69 % (210 명)","49.18 % (179 명)"
"4275","에스아이플렉스","경기 안산시 단원구 엠티브이21로 20","200명 이상 ~ 400명 미만","262,764,858","9.05 % (22 명)","17.28 % (42 명)"
"4276","우양","충남 서천군 장항읍 장산로 357","200명 이상 ~ 400명 미만","133,059,335","0.00 % (0 명)","21.15 % (11 명)"
"4277","유니에스","서울 강남구 선릉로 514","1,000명 이상","319,217,284","72.52 % (5391 명)","75.49 % (5612 명)"
"4278","유진로봇","인천 연수구 하모니로187번길 33","100명 이상 ~ 200명 미만","24,636,973","31.51 % (46 명)","29.45 % (43 명)"
"4279","이든앤앨리스마케팅","서울 강남구 테헤란로87길 36, 15층","200명 이상 ~ 400명 미만","22,824,921","28.00 % (70 명)","36.00 % (90 명)"
"4280","청담러닝",NA,NA,NA,NA,NA
"4281","휴니드테크놀러지스","인천 연수구 벤처로 87","200명 이상 ~ 400명 미만","198,074,505","11.32 % (42 명)","20.49 % (76 명)"
"4282","대신정보통신","광주 서구 상무중앙로 110","400명 이상 ~ 700명 미만","175,863,952","0.00 % (0 명)","0.00 % (0 명)"
"4283","신원","서울 마포구 독막로 328",NA,"690,237,640",NA,NA
"4284","유니온커뮤니티","서울 송파구 법원로 127, 1201호","100명 이상 ~ 200명 미만","43,789,956","19.33 % (23 명)","20.17 % (24 명)"
"4285","이수엑사보드","경기 안산시 단원구 별망로270번길 17","200명 이상 ~ 400명 미만","120,959,742","2.04 % (7 명)","98.83 % (339 명)"
"4286","규어랜드로버코리아","서울 중구 을지로5길 26, 13층","40명 이상 ~ 70명 미만","675,093,512","10.61 % (7 명)","31.82 % (21 명)"
"4287","전진건설로봇","충북 음성군 금왕읍 대금로 1264","100명 이상 ~ 200명 미만","90,949,170","13.73 % (21 명)","11.76 % (18 명)"
"4288","코레일네트웍스","서울 용산구 한강대로 69, 업무동 13층,14층","1,000명 이상","93,598,691","13.17 % (174 명)","10.45 % (138 명)"
"4289","콘센트릭스서비스코리아",NA,NA,NA,NA,NA
"4290","콜마파마","충북 제천시 바이오밸리2로 93","20명 이상 ~ 40명 미만","88,064,443","25.56 % (46 명)","108.89 % (196 명)"
"4291","티엔티익스프레스",NA,NA,NA,NA,NA
"4292","한국노인인력개발원()",NA,NA,NA,NA,NA
"4293","한국특수형강",NA,NA,NA,NA,NA
"4294","한솔섬유","서울 송파구 송파대로 268","400명 이상 ~ 700명 미만","1,170,007,727","30.11 % (165 명)","23.54 % (129 명)"
"4295","씨앤씨미술교육지원센터","서울 종로구 평창7길 32","-",NA,"0.00 % (0 명)","0.00 % (0 명)"
"4296","(의)삼광의료단",NA,NA,NA,NA,NA
"4297","(의)한성단포항세명기독병원",NA,NA,NA,NA,NA
"4298","건화","경북 경산시 진량읍 공단4로5길 33","100명 이상 ~ 200명 미만","68,123,857","14.36 % (29 명)","24.75 % (50 명)"
"4299","네추럴웨이","경기 포천시 해룡로 83-135","100명 이상 ~ 200명 미만","57,378,719","33.15 % (61 명)","41.30 % (76 명)"
"4300","넥스지","서울 양천구 목동서로 201, 23층","70명 이상 ~ 100명 미만","18,555,634","27.71 % (23 명)","37.35 % (31 명)"
"4301","더맘마","전북 전주시 완산구 홍산남로 52, 401-4호","200명 이상 ~ 400명 미만","66,244,872","93.06 % (67 명)","93.06 % (67 명)"
"4302","디비메탈","서울 강남구 테헤란로 432","200명 이상 ~ 400명 미만","278,552,739","13.79 % (4 명)","13.79 % (4 명)"
"4303","디와이비최선어학원","서울 강남구 남부순환로 2917, 상가 402호","20명 이상 ~ 40명 미만","50억원 ~ 100억원","62.86 % (22 명)","62.86 % (22 명)"
"4304","리얼야구존","서울 서초구 반포대로 76, 2층","1명 이상 ~ 20명 미만","10억원 ~ 50억원","20.00 % (4 명)","30.00 % (6 명)"
"4305","리팅랩스",NA,NA,NA,NA,NA
"4306","메가마트","서울 금천구 시흥대로27길 32","1,000명 이상","526,257,730","15.69 % (201 명)","24.98 % (320 명)"
"4307","미플즈","서울 강남구 선릉로129길 3-8, 2층","20명 이상 ~ 40명 미만",NA,"161.54 % (21 명)","46.15 % (6 명)"
"4308","바이트커뮤니케이션즈","서울 용산구 장문로 26, 1층","20명 이상 ~ 40명 미만","50억원 ~ 100억원","42.86 % (12 명)","32.14 % (9 명)"
"4309","비씨더블유코리아","서울 서초구 강남대로 373, 6층","-",NA,"0.00 % (0 명)","0.00 % (0 명)"
"4310","삼영에스앤씨","경기 성남시 중원구 둔촌대로 446","40명 이상 ~ 70명 미만","13,557,858","15.71 % (11 명)","21.43 % (15 명)"
"4311","씨유박스","서울 금천구 디지털로9길 68, 1701호,1702호,1703호,1704호,1705호","70명 이상 ~ 100명 미만","10,067,720","45.45 % (40 명)","39.77 % (35 명)"
"4312","아이닉스소프트",NA,NA,NA,NA,NA
"4313","아이디룩","서울 강남구 강남대로 580","200명 이상 ~ 400명 미만","193,701,585","12.77 % (41 명)","60.44 % (194 명)"
"4314","알래스카플러스","서울 용산구 한남대로 98, 2층","1명 이상 ~ 20명 미만","5,207,902","71.43 % (5 명)","71.43 % (5 명)"
"4315","제이코스","서울 영등포구 영신로 220, 1505호,1506호","20명 이상 ~ 40명 미만","32,172,037","40.54 % (15 명)","56.76 % (21 명)"
"4316","지더블유캐드코리아","서울 강남구 학동로23길 49, 2층, 3층","20명 이상 ~ 40명 미만","50억원 ~ 100억원","66.67 % (18 명)","48.15 % (13 명)"
"4317","타운컴퍼니","서울 강남구 영동대로 602, 6층","-",NA,"0.00 % (0 명)","0.00 % (0 명)"
"4318","탑엔지니어링","경북 구미시 고아읍 농공단지길 53-17","400명 이상 ~ 700명 미만","155,748,839","33.51 % (130 명)","33.51 % (130 명)"
"4319","티로보틱스","경기 오산시 가장산업서북로 103-37","100명 이상 ~ 200명 미만","65,637,225","33.33 % (40 명)","35.00 % (42 명)"
"4320","피제이디자인","서울 마포구 창전로 90, 3,4층","20명 이상 ~ 40명 미만",NA,"36.84 % (14 명)","42.11 % (16 명)"
"4321","핌아시아","서울 강남구 테헤란로114길 16, 3층","40명 이상 ~ 70명 미만","100억원 ~ 500억원","62.50 % (25 명)","42.50 % (17 명)"
"4322","홈스토리생활","서울 강남구 봉은사로30길 64, 2층","70명 이상 ~ 100명 미만","10억원 ~ 50억원","117.14 % (82 명)","101.43 % (71 명)"
"4323","구산토건","서울 강남구 논현로 752","100명 이상 ~ 200명 미만","200,734,775","70.12 % (413 명)","42.95 % (253 명)"
"4324","금양산업개발","전북 완주군 이서면 초남신기길 192-31",NA,NA,NA,NA
"4325","남양유업","서울 강남구 도산대로 240","1,000명 이상","936,004,918","14.94 % (208 명)","20.33 % (283 명)"
"4326","농업회사법인넥스트온","경기 양평군 강상면 신당곡1길 23","20명 이상 ~ 40명 미만",NA,"407.14 % (57 명)","328.57 % (46 명)"
"4327","다원아이디앤씨","서울 서초구 효령로 357","100명 이상 ~ 200명 미만","77,793,846","184.67 % (253 명)","52.55 % (72 명)"
"4328","대아티아이","경기 부천시 수도로 139","200명 이상 ~ 400명 미만","113,380,721","57.61 % (178 명)","21.68 % (67 명)"
"4329","대한적십자사","강원 원주시 혁신로 50","1,000명 이상","5000억 이상 ~","25.08 % (322 명)","25.23 % (324 명)"
"4330","더이앤엠","서울 서초구 강남대로101안길 41","70명 이상 ~ 100명 미만","34,250,733","37.36 % (34 명)","30.77 % (28 명)"
"4331","더화이트커뮤니케이션","서울 성동구 성수이로24길 32","200명 이상 ~ 400명 미만","50억원 ~ 100억원","193.23 % (514 명)","167.67 % (446 명)"
"4332","덴소인터내셔널코리아","경기 의왕시 성고개로 131","-",NA,"0.00 % (0 명)","0.00 % (0 명)"
"4333","드림아이플래너스","서울 중구 다산로8길 38-3","1명 이상 ~ 20명 미만","5억원 ~ 10억원","0.00 % (0 명)","25.00 % (3 명)"
"4334","디케이서비스","경북 영천시 신녕면 완전공단길 18","20명 이상 ~ 40명 미만",NA,"41.38 % (12 명)","27.59 % (8 명)"
"4335","딜루션","서울 강남구 도산대로26길 36, 2층","20명 이상 ~ 40명 미만","10억원 ~ 50억원","19.23 % (5 명)","26.92 % (7 명)"
"4336","바이오스펙트럼","경기 용인시 수지구 신수로 767, 1805호","70명 이상 ~ 100명 미만","11,624,983","19.35 % (18 명)","32.26 % (30 명)"
"4337","범진아이엔디","경기 수원시 영통구 매영로 160","100명 이상 ~ 200명 미만","66,401,125","22.54 % (16 명)","45.07 % (32 명)"
"4338","법무법인 충정",NA,NA,NA,NA,NA
"4339","비비씨","대전 대덕구 문평동로 25","70명 이상 ~ 100명 미만","21,271,873","54.55 % (42 명)","35.06 % (27 명)"
"4340","비욘드마케팅그룹","서울 강남구 논현로 651, 5층","40명 이상 ~ 70명 미만","100억원 ~ 500억원","61.36 % (27 명)","40.91 % (18 명)"
"4341","비트러스트","서울 종로구 종로 273","1명 이상 ~ 20명 미만","~ 5억원 이하","66.67 % (8 명)","33.33 % (4 명)"
"4342","사이엑스","서울 영등포구 선유로 233, 3층","70명 이상 ~ 100명 미만",NA,"33.72 % (29 명)","45.35 % (39 명)"
"4343","삼보판지","경기 시흥시 공단1대로28번길 120","200명 이상 ~ 400명 미만","175,035,219","15.81 % (40 명)","13.83 % (35 명)"
"4344","삼안","경기 과천시 별양상가3로 5","1,000명 이상","155,762,052","26.91 % (268 명)","19.98 % (199 명)"
"4345","소프트아이텍","대전 유성구 죽동로 69","100명 이상 ~ 200명 미만","36,892,192","66.97 % (146 명)","40.83 % (89 명)"
"4346","에스앤티씨","인천 서구 두루물로78번길 48",NA,NA,NA,NA
"4347","에스에이치글로벌","대구 달서구 월배로 120",NA,"1,960,000",NA,NA
"4348","엔디에스","서울 동작구 여의대방로 112","400명 이상 ~ 700명 미만","118,895,629","17.75 % (85 명)","21.71 % (104 명)"
"4349","엔케이솔루션","경기도 오산시 대호로117번길 43, 302호 (궐동,원프라자)",NA,NA,NA,NA
"4350","엘라고","경기 고양시 일산동구 일산로 138, 222호","70명 이상 ~ 100명 미만","16,482,242","57.83 % (48 명)","55.42 % (46 명)"
"4351","엠텍비젼","경기 성남시 수정구 창업로 42, 3층","1명 이상 ~ 20명 미만","50억원 ~ 100억원","15.79 % (3 명)","42.11 % (8 명)"
"4352","용마로지스","경기 김포시 고촌읍 아라육로 78, 2동","400명 이상 ~ 700명 미만","275,912,922","19.41 % (105 명)","17.38 % (94 명)"
"4353","유니슨","경남 사천시 사남면 해안산업로 513","200명 이상 ~ 400명 미만","78,512,293","12.32 % (26 명)","16.59 % (35 명)"
"4354","이노아이","경기 성남시 분당구 판교로228번길 15, 901호","70명 이상 ~ 100명 미만",NA,"67.14 % (47 명)","30.00 % (21 명)"
"4355","이화글로텍","경기 안산시 상록구 해안로 705, 407호","100명 이상 ~ 200명 미만","19,578,809","25.40 % (16 명)","26.98 % (17 명)"
"4356","인성데이타","대구 서구 북비산로 369","40명 이상 ~ 70명 미만","14,881,442","147.37 % (84 명)","56.14 % (32 명)"
"4357","일진다이아몬드","충북 음성군 대소면 대금로 157","200명 이상 ~ 400명 미만","50,050,154","9.43 % (28 명)","17.51 % (52 명)"
"4358","태광","부산 강서구 녹산산업대로 117-12","200명 이상 ~ 400명 미만","188,404,258","2.36 % (8 명)","7.37 % (25 명)"
"4359","태웅메디칼","경기 김포시 월곶면 고정로 14","200명 이상 ~ 400명 미만","58,531,647","25.66 % (68 명)","20.75 % (55 명)"
"4360","하이트론씨스템즈","경기 안성시 삼죽면 서동대로 5953-85","100명 이상 ~ 200명 미만","27,273,277","60.58 % (63 명)","60.58 % (63 명)"
"4361","한국가상현실","서울 송파구 중대로 97, 16층","20명 이상 ~ 40명 미만",NA,"20.00 % (7 명)","8.57 % (3 명)"
"4362","한국뷰로베리타스","서울 강남구 봉은사로 457, 6층","70명 이상 ~ 100명 미만","100억원 ~ 500억원","45.07 % (32 명)","36.62 % (26 명)"
"4363","한국엔SK",NA,NA,NA,NA,NA
"4364","한국호야렌즈","서울 서초구 효령로 336","100명 이상 ~ 200명 미만","36,415,545","17.32 % (22 명)","32.28 % (41 명)"
"4365","헬스커넥트","서울 강남구 테헤란로70길 12, 9층","40명 이상 ~ 70명 미만","11,068,203","37.84 % (14 명)","21.62 % (8 명)"
"4366","(사)한국전자정보통신산업진흥회","서울 마포구 월드컵북로54길 11, 11층.12층","70명 이상 ~ 100명 미만","50억원 ~ 100억원","51.39 % (37 명)","22.22 % (16 명)"
"4367","달리자","경기 성남시 중원구 금상로107번길 13-3",NA,NA,NA,NA
"4368","메타비경영연구원",NA,NA,NA,NA,NA
"4369","미쏘","서울 중구 신당동775 제일평화시장 지하 404,405호",NA,NA,NA,NA
"4370","바텍이우홀딩스","경기 화성시 삼성1로2길 13","40명 이상 ~ 70명 미만","7,008,096","40.38 % (21 명)","28.85 % (15 명)"
"4371","발렉스서비스","서울 영등포구 의사당대로 83, 12층,13층","1,000명 이상","225,368,106","57.58 % (2654 명)","62.23 % (2868 명)"
"4372","베이직테크","경기 파주시 신촌1로 17","40명 이상 ~ 70명 미만","8,652,478","30.56 % (22 명)","43.06 % (31 명)"
"4373","북팔","서울 마포구 월드컵북로 396, 21층","20명 이상 ~ 40명 미만","100억원 ~ 500억원","40.74 % (11 명)","37.04 % (10 명)"
"4374","상보","경기 김포시 통진읍 대서명로 50","100명 이상 ~ 200명 미만","57,210,108","22.42 % (37 명)","20.61 % (34 명)"
"4375","스마투스","서울 중구 세종대로 136, 3층 3019호","1명 이상 ~ 20명 미만","~ 5억원 이하","144.44 % (13 명)","44.44 % (4 명)"
"4376","스카이라이프티브이","서울 마포구 매봉산로 75, 10층","100명 이상 ~ 200명 미만","57,122,093","21.50 % (23 명)","16.82 % (18 명)"
"4377","썸텍","경기 화성시 장안면 석포공단길 9-17","1명 이상 ~ 20명 미만",NA,"0.00 % (0 명)","0.00 % (0 명)"
"4378","애자일소다","서울 강남구 선릉로 525, 3층","100명 이상 ~ 200명 미만","50억원 ~ 100억원","93.42 % (71 명)","38.16 % (29 명)"
"4379","에스텍시스템","서울 강남구 개포로 619","1,000명 이상","489,123,256","57.14 % (5081 명)","56.97 % (5066 명)"
"4380","에이블씨엔씨","서울 서초구 서초대로38길 12, 13층","200명 이상 ~ 400명 미만","225,578,133","37.16 % (123 명)","55.59 % (184 명)"
"4381","에이시지알","서울 용산구 서빙고로 17, 4층 403호, 404호, 405호","20명 이상 ~ 40명 미만",NA,"27.27 % (9 명)","33.33 % (11 명)"
"4382","요거프레소","인천 동구 송림동 343 동산휴먼시아아파트단지내상가 202",NA,NA,NA,NA
"4383","유니테크","경기 평택시 산단로64번길 48","40명 이상 ~ 70명 미만","42,211,245","35.19 % (19 명)","18.52 % (10 명)"
"4384","유엔터스","서울 금천구 가산디지털2로 184, 1010호","70명 이상 ~ 100명 미만","100억원 ~ 500억원","13.46 % (14 명)","24.04 % (25 명)"
"4385","이랜드리테일","서울 서초구 잠원로 51","1,000명 이상","1,756,484,270","24.53 % (815 명)","33.67 % (1119 명)"
"4386","이지수능교육","서울 서초구 강남대로10길 23, 3,4,5층","20명 이상 ~ 40명 미만",NA,"40.00 % (12 명)","53.33 % (16 명)"
"4387","인지디스플레이","경기 안산시 단원구 동산로 88","200명 이상 ~ 400명 미만","271,618,913","0.00 % (0 명)","20.00 % (1 명)"
"4388","제이윈파트너스","서울 송파구 법원로 114, B동 604호","20명 이상 ~ 40명 미만","50억원 ~ 100억원","27.27 % (9 명)","24.24 % (8 명)"
"4389","지에스넷비전","서울 강남구 테헤란로 201, 9층","70명 이상 ~ 100명 미만","24,011,334","108.00 % (81 명)","66.67 % (50 명)"
"4390","피엔풍년","경기 안산시 단원구 별망로 620","100명 이상 ~ 200명 미만","57,690,337","15.03 % (26 명)","22.54 % (39 명)"
"4391","하우리","서울 동작구 만양로 104","40명 이상 ~ 70명 미만","10,264,350","5.80 % (4 명)","17.39 % (12 명)"
"4392","한국고용정보","강원 춘천시 영서로 2491","1,000명 이상","37,586,187","183.89 % (1609 명)","152.34 % (1333 명)"
"4393","대우제약","부산 사하구 다대로 153","200명 이상 ~ 400명 미만","58,183,480","23.95 % (63 명)","24.71 % (65 명)"
"4394","디앤아이컨설팅","서울 동대문구 청계천로 489, 9층","1명 이상 ~ 20명 미만","10억원 ~ 50억원","38.46 % (5 명)","23.08 % (3 명)"
"4395","무인양품","서울 서대문구 연세로 12","700명 이상 ~ 1000명 미만","62,715,648","145.03 % (1211 명)","153.29 % (1280 명)"
"4396","미래신용정보","서울 영등포구 영등포로 81","1,000명 이상","73,991,510","35.37 % (87 명)","25.20 % (62 명)"
"4397","발레오오토모티브코리아","경기 안산시 단원구 능안로 98","100명 이상 ~ 200명 미만","15,936,844","26.26 % (47 명)","27.37 % (49 명)"
"4398","비엔피파리바은행서울지점","서울 중구 퇴계로 100","100명 이상 ~ 200명 미만",NA,"33.59 % (43 명)","36.72 % (47 명)"
"4399","삼성생명서비스손해사정","서울 영등포구 국회대로 559","1,000명 이상","206,162,536","8.89 % (206 명)","13.94 % (323 명)"
"4400","삼아제약","강원 원주시 문막읍 동화공단로 49","200명 이상 ~ 400명 미만","53,652,809","19.52 % (57 명)","23.97 % (70 명)"
"4401","신풍제약","경기 안산시 단원구 원시로 7","700명 이상 ~ 1000명 미만","187,327,145","14.10 % (107 명)","10.67 % (81 명)"
"4402","씨에스알와인","서울 강남구 압구정로30길 17, 501동 2호 에이","70명 이상 ~ 100명 미만","100억원 ~ 500억원","69.23 % (54 명)","52.56 % (41 명)"
"4403","에스씨에스프로","서울 금천구 가산디지털1로 225, 1513호","40명 이상 ~ 70명 미만","100억원 ~ 500억원","26.83 % (11 명)","21.95 % (9 명)"
"4404","에이테크솔루션","경기 화성시 정남면 가장로 277","200명 이상 ~ 400명 미만","190,074,247","15.51 % (56 명)","21.61 % (78 명)"
"4405","엑스큐어","경기 안양시 동안구 시민대로 317, 5층","40명 이상 ~ 70명 미만","10,118,280","31.25 % (15 명)","47.92 % (23 명)"
"4406","엘지히다찌","서울 마포구 마포대로 155","200명 이상 ~ 400명 미만","112,841,420","34.16 % (96 명)","45.20 % (127 명)"
"4407","열린책들","경기 파주시 문발로 253","20명 이상 ~ 40명 미만",NA,"46.43 % (13 명)","35.71 % (10 명)"
"4408","윈포시스","경기 용인시 수지구 신수로 767, 에이동 10층 1011호, 518호, 519호","1명 이상 ~ 20명 미만","50억원 ~ 100억원","19.35 % (6 명)","90.32 % (28 명)"
"4409","유아컨설턴트종합건축사사무소","서울 강남구 영동대로 511, 2501호","20명 이상 ~ 40명 미만","10억원 ~ 50억원","94.12 % (16 명)","52.94 % (9 명)"
"4410","일렉펀앤엠에스","서울 송파구 충민로 52, B동 613호","1명 이상 ~ 20명 미만",NA,"25.00 % (4 명)","37.50 % (6 명)"
"4411","일진머티리얼즈","전북 익산시 석암로3길 63-25","400명 이상 ~ 700명 미만","291,788,657","16.22 % (84 명)","13.51 % (70 명)"
"4412","제룡전기","서울 광진구 아차산로 628","100명 이상 ~ 200명 미만","44,195,775","27.27 % (33 명)","23.97 % (29 명)"
"4413","조선영상비전","서울 중구 세종대로21길 40","100명 이상 ~ 200명 미만","13,341,790","13.14 % (23 명)","13.14 % (23 명)"
"4414","최신물산","서울 영등포구 양평로25길 8, 15층","70명 이상 ~ 100명 미만","114,496,506","33.70 % (31 명)","38.04 % (35 명)"
"4415","테스트이앤씨","서울 강남구 테헤란로 124, 905호","100명 이상 ~ 200명 미만","50억원 ~ 100억원","31.18 % (53 명)","33.53 % (57 명)"
"4416","티아이티이엔지","서울 송파구 중대로 215, 6층, 7층","70명 이상 ~ 100명 미만","17,184,657","25.00 % (21 명)","25.00 % (21 명)"
"4417","펀진","서울 성동구 연무장5가길 7, 이스트동 13층","40명 이상 ~ 70명 미만","100억원 ~ 500억원","33.33 % (19 명)","33.33 % (19 명)"
"4418","한국건강가정진흥원","서울 서초구 반포대로 217, 5층","200명 이상 ~ 400명 미만",NA,"30.50 % (86 명)","34.40 % (97 명)"
"4419","한국광고총연합회(사)",NA,NA,NA,NA,NA
"4420","클룩트래블테크놀러지","서울 서초구 강남대로 373, 9층","20명 이상 ~ 40명 미만",NA,"73.91 % (17 명)","60.87 % (14 명)"
"4421","더블유컨셉코리아","서울 강남구 테헤란로14길 16, 5층","200명 이상 ~ 400명 미만","60,170,693","46.12 % (95 명)","27.67 % (57 명)"
