"","기업명","산업군","평점","모집내용","직군","지원자격","근무조건.근무지역","마감일.등록일","본사주소","직원수","X2020년매출액.천원.","입사율.연간.입사자.","퇴사율.연간.퇴사자"
"2896","콴텍","은행/금융업",2.8,NA,NA,NA,NA,NA,"서울 영등포구 여의대로 14, 14층","20명 이상 ~ 40명 미만",NA,"51.85 % (14 명)","44.44 % (12 명)"
"2897","키밸브기술","제조/화학",2.8,NA,NA,NA,NA,NA,"경기 시흥시 공단2대로139번길 13, 808호","40명 이상 ~ 70명 미만","28,329,957","14.71 % (10 명)","22.06 % (15 명)"
"2898","태양쓰리시","제조/화학",2.8,NA,NA,NA,NA,NA,"강원 홍천군 홍천읍 농공단지길 23-21","100명 이상 ~ 200명 미만","53,592,080","17.27 % (24 명)","18.71 % (26 명)"
"2899","푸르지오서비스","서비스업",2.8,NA,NA,NA,NA,NA,"서울 종로구 새문안로5길 19, 13층","-",NA,"0.00 % (0 명)","0.00 % (0 명)"
"2900","피케이엘","제조/화학",2.8,NA,NA,NA,NA,NA,"전남 여수시 여서동1길 10, 2층","1명 이상 ~ 20명 미만",NA,"27.27 % (3 명)","72.73 % (8 명)"
"2901","한국사회보장정보원","기관/협회",2.8,NA,NA,NA,NA,NA,"서울 광진구 능동로 400","700명 이상 ~ 1000명 미만",NA,"15.77 % (117 명)","18.06 % (134 명)"
"2902","한국에이버리알아이에스","유통/무역/운송",2.8,NA,NA,NA,NA,NA,"서울 서초구 매헌로 16, 16층","-",NA,"0.00 % (0 명)","0.00 % (0 명)"
"2903","한살림소비자생활협동조합연합회","유통/무역/운송",2.8,NA,NA,NA,NA,NA,"경기 안성시 대덕면 안성대로 1526","40명 이상 ~ 70명 미만","50억원 ~ 100억원","15.79 % (6 명)","13.16 % (5 명)"
"2904","한화투자증권","은행/금융업",2.8,NA,NA,NA,NA,NA,"서울 영등포구 여의대로 56","1,000명 이상",NA,"18.32 % (203 명)","15.79 % (175 명)"
"2905","현대비앤지스틸","제조/화학",2.8,NA,NA,NA,NA,NA,"경남 창원시 성산구 적현로 124","400명 이상 ~ 700명 미만","679,980,856","13.73 % (60 명)","13.27 % (58 명)"
"2906","효성아이티엑스","IT/웹/통신",2.8,"[효성ITX] 스마트팩토리 시스템 개발 운영자 신입/경력사원 모집","SE(시스템엔지니어)솔루션ASP.NETC#Java 외","신입 · 경력
학력무관","정규직
서울 영등포구","입사지원
~ 05/18
","서울 영등포구 선유동2로 57","1,000명 이상","481,197,885","100.53 % (7915 명)","99.39 % (7825 명)"
"2907","글루시스","IT/웹/통신",2.8,NA,NA,NA,NA,NA,"경기 안양시 동안구 시민대로327번길 11-31, 5층","20명 이상 ~ 40명 미만","50억원 ~ 100억원","32.26 % (10 명)","32.26 % (10 명)"
"2908","라파스","제조/화학",2.8,NA,NA,NA,NA,NA,"서울 강서구 마곡중앙8로1길 62","100명 이상 ~ 200명 미만","14,810,931","40.66 % (37 명)","28.57 % (26 명)"
"2909","마르시스","제조/화학",2.8,NA,NA,NA,NA,NA,"서울 강남구 언주로85길 7, 2층-6층","40명 이상 ~ 70명 미만",NA,"12.77 % (6 명)","12.77 % (6 명)"
"2910","맑음","IT/웹/통신",2.8,NA,NA,NA,NA,NA,"부산 해운대구 우동 센텀씨티13블럭4롯 센텀벤처타운 308호",NA,NA,NA,NA
"2911","에스에프에이","제조/화학",2.8,NA,NA,NA,NA,NA,"경기 화성시 동탄순환대로29길 25","400명 이상 ~ 700명 미만","835,408,571","12.00 % (81 명)","16.44 % (111 명)"
"2912","영원무역","유통/무역/운송",2.8,NA,NA,NA,NA,NA,"서울 중구 만리재로 159","200명 이상 ~ 400명 미만","1,140,634,941","25.45 % (70 명)","28.73 % (79 명)"
"2913","원익아이피에스","제조/화학",2.8,NA,NA,NA,NA,NA,"경기 평택시 진위면 진위산단로 75","1,000명 이상","1,090,819,431","21.35 % (333 명)","20.64 % (322 명)"
"2914","원태","제조/화학",2.8,NA,NA,NA,NA,NA,"경기 김포시 양촌읍 황금1로 62","200명 이상 ~ 400명 미만","39,841,363","44.17 % (106 명)","47.08 % (113 명)"
"2915","투비소프트","IT/웹/통신",2.8,NA,NA,NA,NA,NA,"서울 강남구 봉은사로 617, 3,4,5층","200명 이상 ~ 400명 미만","32,322,991","46.86 % (97 명)","34.78 % (72 명)"
"2916","한국애보트진단","의료/제약/복지",2.8,NA,NA,NA,NA,NA,"경기 용인시 기흥구 보라하갈로 65","700명 이상 ~ 1000명 미만","366,329,084","61.62 % (366 명)","33.00 % (196 명)"
"2917","한맥기술","건설업",2.8,NA,NA,NA,NA,NA,"충남 당진시 고대면 성산로 464","200명 이상 ~ 400명 미만","39,861,210","27.48 % (72 명)","20.99 % (55 명)"
"2918","홈페이지코리아","IT/웹/통신",2.8,NA,NA,NA,NA,NA,"서울 영등포구 경인로 775, 2동 202호","20명 이상 ~ 40명 미만","10억원 ~ 50억원","47.37 % (9 명)","47.37 % (9 명)"
"2919","농업회사법인농우바이오","제조/화학",2.8,NA,NA,NA,NA,NA,"경기 수원시 영통구 센트럴타운로 114-8","200명 이상 ~ 400명 미만","98,345,060","5.53 % (23 명)","11.06 % (46 명)"
"2920","대신증권","은행/금융업",2.8,NA,NA,NA,NA,NA,"서울 중구 삼일대로 343","1,000명 이상",NA,"17.21 % (245 명)","15.31 % (218 명)"
"2921","마켓비","유통/무역/운송",2.8,NA,NA,NA,NA,NA,"경기 파주시 책향기로 836, 801호,802호,803호","100명 이상 ~ 200명 미만","54,734,650","41.18 % (56 명)","53.68 % (73 명)"
"2922","매크로매트릭스","미디어/디자인",2.8,NA,NA,NA,NA,NA,"서울 서초구 방배중앙로 180","1명 이상 ~ 20명 미만","10억원 ~ 50억원","26.67 % (4 명)","26.67 % (4 명)"
"2923","모임스톤","제조/화학",2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2924","미스터블루","IT/웹/통신",2.8,NA,NA,NA,NA,NA,"서울 마포구 월드컵북로6길 18","70명 이상 ~ 100명 미만","28,876,425","22.22 % (20 명)","18.89 % (17 명)"
"2925","서비스탑","서비스업",2.8,NA,NA,NA,NA,NA,"대전 서구 문정로 41","1,000명 이상","195,478,611","24.12 % (779 명)","34.58 % (1117 명)"
"2926","성균관대학교 산학협력단","서비스업",2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2927","세방","유통/무역/운송",2.8,NA,NA,NA,NA,NA,"부산 남구 우암로 127","400명 이상 ~ 700명 미만","577,261,592","9.31 % (62 명)","9.76 % (65 명)"
"2928","씨유메디칼시스템","제조/화학",2.8,NA,NA,NA,NA,NA,"강원 원주시 문막읍 동화공단로 130-1","100명 이상 ~ 200명 미만","23,332,013","57.45 % (54 명)","39.36 % (37 명)"
"2929","에스엠알오토모티브모듈코리아","제조/화학",2.8,NA,NA,NA,NA,NA,"충북 청주시 흥덕구 옥산면 과학산업1로 170","400명 이상 ~ 700명 미만","311,087,837","3.50 % (18 명)","8.54 % (44 명)"
"2930","영남이공대학교","교육업",2.8,NA,NA,NA,NA,NA,"대구 남구 현충로 170","200명 이상 ~ 400명 미만",NA,"88.16 % (201 명)","85.53 % (195 명)"
"2931","이랜드시스템스","IT/웹/통신",2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2932","이투데이","미디어/디자인",2.8,NA,NA,NA,NA,NA,"서울 동작구 여의대방로62길 1","100명 이상 ~ 200명 미만","18,669,579","22.07 % (32 명)","25.52 % (37 명)"
"2933","인싸이트그룹","기관/협회",2.8,NA,NA,NA,NA,NA,"서울 서초구 서초대로52길 38, 6층","40명 이상 ~ 70명 미만",NA,"120.00 % (48 명)","90.00 % (36 명)"
"2934","인크로스","미디어/디자인",2.8,NA,NA,NA,NA,NA,"서울 관악구 남부순환로 1926, 5층","200명 이상 ~ 400명 미만","36,181,292","47.72 % (115 명)","30.29 % (73 명)"
"2935","자라리테일코리아","유통/무역/운송",2.8,NA,NA,NA,NA,NA,"서울 강남구 영동대로 511, 20층","1,000명 이상","415,500,346","110.12 % (1230 명)","108.68 % (1214 명)"
"2936","케이비엠","제조/화학",2.8,NA,NA,NA,NA,NA,"경기 수원시 장안구 경수대로 1045","1명 이상 ~ 20명 미만","22,073,359","16.67 % (1 명)","0.00 % (0 명)"
"2937","평화이즈","IT/웹/통신",2.8,NA,NA,NA,NA,NA,"서울 서초구 반포대로 22, 6층","200명 이상 ~ 400명 미만","42,554,326","25.00 % (46 명)","13.59 % (25 명)"
"2938","하이엠솔루텍","서비스업",2.8,NA,NA,NA,NA,NA,"서울 강서구 마곡중앙5로 18, 10층,11층","1,000명 이상","186,287,151","16.12 % (162 명)","11.84 % (119 명)"
"2939","한국교육개발원","기관/협회",2.8,NA,NA,NA,NA,NA,"경북 경산시 경산로40길 4-14, 202호",NA,NA,NA,NA
"2940","한국유리공업","제조/화학",2.8,NA,NA,NA,NA,NA,"서울 강남구 테헤란로 534","200명 이상 ~ 400명 미만","240,416,994","125.59 % (481 명)","35.77 % (137 명)"
"2941","한샘이유지","미디어/디자인",2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2942","허브넷","미디어/디자인",2.8,NA,NA,NA,NA,NA,"서울 영등포구 국회대로62길 9, 6층","1명 이상 ~ 20명 미만","50억원 ~ 100억원","12.50 % (2 명)","12.50 % (2 명)"
"2943","국제방송교류재단","미디어/디자인",2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2944","교원","서비스업",2.8,NA,NA,NA,NA,NA,"서울 중구 을지로 51","400명 이상 ~ 700명 미만","80,099,283","124.43 % (866 명)","43.68 % (304 명)"
"2945","넷맨","IT/웹/통신",2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2946","마이크로디지탈","제조/화학",2.8,NA,NA,NA,NA,NA,"경기 성남시 분당구 판교로228번길 15, 701호","70명 이상 ~ 100명 미만","2,290,187","34.78 % (24 명)","14.49 % (10 명)"
"2947","미래엔","미디어/디자인",2.8,NA,NA,NA,NA,NA,"서울 서초구 신반포로 321","400명 이상 ~ 700명 미만","192,737,013","30.59 % (104 명)","23.53 % (80 명)"
"2948","비츠로넥스텍","제조/화학",2.8,NA,NA,NA,NA,NA,"경기 안산시 단원구 별망로 327","100명 이상 ~ 200명 미만","64,876,229","20.77 % (43 명)","32.37 % (67 명)"
"2949","삼우","제조/화학",2.8,NA,NA,NA,NA,NA,"경남 김해시 한림면 한림로 216","40명 이상 ~ 70명 미만","29,628,420","4.44 % (2 명)","8.89 % (4 명)"
"2950","서린바이오사이언스","유통/무역/운송",2.8,NA,NA,NA,NA,NA,"경기 성남시 분당구 대왕판교로 700, 4층 에이동","70명 이상 ~ 100명 미만","60,880,234","22.83 % (21 명)","17.39 % (16 명)"
"2951","알볼로에프앤씨","서비스업",2.8,NA,NA,NA,NA,NA,"서울 양천구 목동로 232","100명 이상 ~ 200명 미만","48,125,120","67.42 % (89 명)","71.21 % (94 명)"
"2952","에이앤티솔루션","IT/웹/통신",2.8,NA,NA,NA,NA,NA,"서울 강남구 삼성로 508, 1211호","70명 이상 ~ 100명 미만",NA,"33.85 % (22 명)","18.46 % (12 명)"
"2953","에이팩트","제조/화학",2.8,NA,NA,NA,NA,NA,"경기 안성시 일죽면 서동대로 7280-26","200명 이상 ~ 400명 미만","49,630,032","49.82 % (135 명)","55.35 % (150 명)"
"2954","에이피솔루션즈","서비스업",2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2955","에코아이티","IT/웹/통신",2.8,NA,NA,NA,NA,NA,"서울 강남구 테헤란로78길 14-6, 5층","100명 이상 ~ 200명 미만","100억원 ~ 500억원","67.62 % (71 명)","47.62 % (50 명)"
"2956","엔티시스","IT/웹/통신",2.8,NA,NA,NA,NA,NA,"서울 금천구 가산동 60-21 아이티미래타워 제20층 제 2004호,2005호","40명 이상 ~ 70명 미만","50억원 ~ 100억원","20.79 % (21 명)","60.40 % (61 명)"
"2957","온라인파워스","IT/웹/통신",2.8,NA,NA,NA,NA,NA,"서울 구로구 디지털로27길 24, 7층 711호","20명 이상 ~ 40명 미만",NA,"37.04 % (10 명)","29.63 % (8 명)"
"2958","와이지플러스","IT/웹/통신",2.8,NA,NA,NA,NA,NA,"서울 영등포구 국제금융로 10, 19층","100명 이상 ~ 200명 미만","70,470,966","53.66 % (44 명)","30.49 % (25 명)"
"2959","중고나라","IT/웹/통신",2.8,NA,NA,NA,NA,NA,"대구광역시 남구 현충로31길 33, 305호 (대명동)",NA,NA,NA,NA
"2960","즐거운","IT/웹/통신",2.8,NA,NA,NA,NA,NA,"서울 강남구 언주로 709, 7층","70명 이상 ~ 100명 미만","18,401,293","55.56 % (35 명)","31.75 % (20 명)"
"2961","카카오엠","미디어/디자인",2.8,NA,NA,NA,NA,NA,"서울 강남구 테헤란로103길 17","200명 이상 ~ 400명 미만","1000억원 ~ 5000억원","0.00 % (0 명)","0.00 % (0 명)"
"2962","강한친구들","서비스업",2.8,NA,NA,NA,NA,NA,"서울 강서구 화곡로14길 13-3, 1층","1명 이상 ~ 20명 미만",NA,"80.00 % (12 명)","80.00 % (12 명)"
"2963","네모커머스","유통/무역/운송",2.8,NA,NA,NA,NA,NA,"경기 성남시 분당구 황새울로359번길 7, 5층","40명 이상 ~ 70명 미만",NA,"23.91 % (11 명)","32.61 % (15 명)"
"2964","네오펙트","기관/협회",2.8,NA,NA,NA,NA,NA,"경기 성남시 수정구 창업로 42, 판교제2테크노밸리 경기기업성장센터 801호","40명 이상 ~ 70명 미만","2,701,004","16.44 % (12 명)","36.99 % (27 명)"
"2965","넥센타이어","제조/화학",2.8,NA,NA,NA,NA,NA,"경남 양산시 충렬로 355","1,000명 이상","1,208,579,891","4.69 % (86 명)","3.60 % (66 명)"
"2966","동방","유통/무역/운송",2.8,NA,NA,NA,NA,NA,"서울 중구 통일로2길 16, 3층","700명 이상 ~ 1000명 미만","555,088,411","11.24 % (20 명)","15.17 % (27 명)"
"2967","디알씨티에스","유통/무역/운송",2.8,NA,NA,NA,NA,NA,"경기 성남시 중원구 경충대로 2484","200명 이상 ~ 400명 미만","32,236,090","62.24 % (183 명)","28.91 % (85 명)"
"2968","디플럭스씨앤씨","IT/웹/통신",2.8,NA,NA,NA,NA,NA,"서울 금천구 가산디지털1로 171, 806호","40명 이상 ~ 70명 미만","100억원 ~ 500억원","56.76 % (21 명)","27.03 % (10 명)"
"2969","맨파워코리아","서비스업",2.8,"[외국계] Sales Engineer 경력(소프트웨어)","기술영업IT영업연구원R&D","4 ~ 7년
대학교(4년)↑","정규직
서울 강남구","입사지원
~ 05/05
","서울 강남구 테헤란로 409","1,000명 이상","222,383,960","71.35 % (3447 명)","71.50 % (3454 명)"
"2970","머니투데이","미디어/디자인",2.8,NA,NA,NA,NA,NA,"서울 종로구 청계천로 11","200명 이상 ~ 400명 미만","61,234,965","26.32 % (85 명)","23.84 % (77 명)"
"2971","미쓰윤","미디어/디자인",2.8,NA,NA,NA,NA,NA,"서울 서초구 양재천로17길 3, 2층","40명 이상 ~ 70명 미만","100억원 ~ 500억원","52.27 % (23 명)","47.73 % (21 명)"
"2972","브로스앤컴퍼니","제조/화학",2.8,NA,NA,NA,NA,NA,"경기 성남시 분당구 황새울로200번길 28, 11층 1127호","20명 이상 ~ 40명 미만","50억원 ~ 100억원","80.00 % (16 명)","75.00 % (15 명)"
"2973","샴페인","미디어/디자인",2.8,NA,NA,NA,NA,NA,"서울 마포구 성지길 35, 3층","1명 이상 ~ 20명 미만","10억원 ~ 50억원","28.57 % (2 명)","28.57 % (2 명)"
"2974","에델만퍼블릭릴레이션스월드와이드코리아","미디어/디자인",2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2975","에이치엔에스하이텍","제조/화학",2.8,NA,NA,NA,NA,NA,"대전 유성구 테크노1로 62-7","100명 이상 ~ 200명 미만","78,873,321","20.14 % (29 명)","20.14 % (29 명)"
"2976","올품","제조/화학",2.8,NA,NA,NA,NA,NA,"경북 상주시 발산로 135","400명 이상 ~ 700명 미만","304,751,356","39.97 % (259 명)","40.28 % (261 명)"
"2977","우진일렉트로나이트","제조/화학",2.8,NA,NA,NA,NA,NA,"경기 평택시 청북읍 청북로 410","70명 이상 ~ 100명 미만","41,695,198","2.33 % (2 명)","12.79 % (11 명)"
"2978","웅진식품","제조/화학",2.8,NA,NA,NA,NA,NA,"충남 공주시 유구읍 유구마곡사로 136-24","200명 이상 ~ 400명 미만","216,804,623","16.41 % (43 명)","14.50 % (38 명)"
"2979","이노빈","미디어/디자인",2.8,NA,NA,NA,NA,NA,"서울 강남구 봉은사로30길 62, 5층","1명 이상 ~ 20명 미만","10억원 ~ 50억원","68.42 % (13 명)","94.74 % (18 명)"
"2980","이롬","제조/화학",2.8,NA,NA,NA,NA,NA,"경기 성남시 분당구 분당내곡로 151, 8층","40명 이상 ~ 70명 미만","73,893,581","43.10 % (25 명)","27.59 % (16 명)"
"2981","이알엠코리아","서비스업",2.8,NA,NA,NA,NA,NA,"서울 중구 을지로5길 16, 12층","40명 이상 ~ 70명 미만",NA,"95.74 % (45 명)","82.98 % (39 명)"
"2982","이에프에듀케이션퍼스트코리아","교육업",2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2983","인비닷컴","유통/무역/운송",2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2984","중원","제조/화학",2.8,NA,NA,NA,NA,NA,"경기 안산시 단원구 산단로163번길 23","100명 이상 ~ 200명 미만","35,968,162","28.47 % (41 명)","34.03 % (49 명)"
"2985","키움저축은행","은행/금융업",2.8,NA,NA,NA,NA,NA,"경기 부천시 부천로 157","100명 이상 ~ 200명 미만",NA,"29.17 % (42 명)","18.75 % (27 명)"
"2986","토비스","IT/웹/통신",2.8,NA,NA,NA,NA,NA,"인천 연수구 갯벌로 92","200명 이상 ~ 400명 미만","271,122,967","24.59 % (30 명)","24.59 % (30 명)"
"2987","퍼플프렌즈","미디어/디자인",2.8,NA,NA,NA,NA,NA,"서울 강남구 역삼로25길 32, 1층","-",NA,"0.00 % (0 명)","0.00 % (0 명)"
"2988","프로스트앤드설리번","기관/협회",2.8,NA,NA,NA,NA,NA,"서울 강남구 영동대로 511, 2302호","1명 이상 ~ 20명 미만","10억원 ~ 50억원","88.89 % (16 명)","88.89 % (16 명)"
"2989","한국마이크로칩테크놀로지","유통/무역/운송",2.8,NA,NA,NA,NA,NA,"서울 강남구 영동대로 508, 3층","70명 이상 ~ 100명 미만","100억원 ~ 500억원","10.84 % (9 명)","1.20 % (1 명)"
"2990","협동기획","서비스업",2.8,NA,NA,NA,NA,NA,"서울 중구 새문안로 16",NA,NA,NA,NA
"2991","화천기계","제조/화학",2.8,NA,NA,NA,NA,NA,"서울 서초구 방배로 46","200명 이상 ~ 400명 미만","136,810,035","9.64 % (27 명)","16.07 % (45 명)"
"2992","힐튼호텔","서비스업",2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2993","HJ매그놀리아용평호텔앤리조트","서비스업",2.8,NA,NA,NA,NA,NA,"강원 평창군 대관령면 올림픽로 715","200명 이상 ~ 400명 미만","127,150,516","0.00 % (0 명)","0.00 % (0 명)"
"2994","경인양행","제조/화학",2.8,NA,NA,NA,NA,NA,"인천 서구 건지로 199","400명 이상 ~ 700명 미만","214,380,449","23.01 % (78 명)","21.24 % (72 명)"
"2995","노랑푸드","기관/협회",2.8,NA,NA,NA,NA,NA,"서울 강남구 삼성로85길 28, 지상 6,7,8,9,10층","70명 이상 ~ 100명 미만","73,871,734","100.00 % (47 명)","46.81 % (22 명)"
"2996","더썸컴퍼니","미디어/디자인",2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2997","두루안","IT/웹/통신",2.8,NA,NA,NA,NA,NA,"서울 금천구 디지털로10길 78, 1201호.1202호.1203호.1204호.1205호.1206호.1207호.1208호.1209호 (가)","20명 이상 ~ 40명 미만","10억원 ~ 50억원","31.43 % (11 명)","48.57 % (17 명)"
"2998","메이머스트","IT/웹/통신",2.8,NA,NA,NA,NA,NA,"서울 강남구 테헤란로 143, 3층","40명 이상 ~ 70명 미만","17,422,902","42.86 % (27 명)","30.16 % (19 명)"
"2999","서영엔지니어링","건설업",2.8,NA,NA,NA,NA,NA,"경기 성남시 분당구 황새울로 246","400명 이상 ~ 700명 미만","72,708,508","30.64 % (148 명)","27.33 % (132 명)"
"3000","씨제이텔레닉스","서비스업",2.8,NA,NA,NA,NA,NA,"서울 구로구 디지털로 288, 11층","1,000명 이상","112,505,068","18.67 % (242 명)","23.07 % (299 명)"
"3001","씽크트리","IT/웹/통신",2.8,NA,NA,NA,NA,NA,"서울 마포구 매봉산로 37, 404호","1명 이상 ~ 20명 미만",NA,"35.00 % (7 명)","55.00 % (11 명)"
"3002","아이비라인","미디어/디자인",2.8,NA,NA,NA,NA,NA,"서울 용산구 한강대로 295","1명 이상 ~ 20명 미만",NA,"60.00 % (6 명)","70.00 % (7 명)"
"3003","에스원","서비스업",2.8,NA,NA,NA,NA,NA,"서울 중구 세종대로7길 25","1,000명 이상","2,189,076,458","9.67 % (661 명)","8.56 % (585 명)"
"3004","오월의나무컴퍼니","미디어/디자인",2.8,NA,NA,NA,NA,NA,"서울 강남구 논현로154길 15, 1층","1명 이상 ~ 20명 미만",NA,"180.00 % (9 명)","100.00 % (5 명)"
"3005","우리앤드세은기술","제조/화학",2.8,NA,NA,NA,NA,NA,"서울 금천구 가산디지털2로 123, 1501호","70명 이상 ~ 100명 미만","100억원 ~ 500억원","4.00 % (3 명)","12.00 % (9 명)"
"3006","이노트리","IT/웹/통신",2.8,NA,NA,NA,NA,NA,"서울 강남구 테헤란로20길 20, 5층","100명 이상 ~ 200명 미만","20,882,054","32.72 % (53 명)","35.19 % (57 명)"
"3007","좋은사람들","제조/화학",2.8,NA,NA,NA,NA,NA,"서울 마포구 연희로 11, 5층 에스-559호","100명 이상 ~ 200명 미만","111,683,305","10.07 % (27 명)","55.22 % (148 명)"
"3008","지비에스","기관/협회",2.8,NA,NA,NA,NA,NA,"대구 동구 송라로 8, 4층","1명 이상 ~ 20명 미만",NA,"28.57 % (6 명)","47.62 % (10 명)"
"3009","채널에이","미디어/디자인",2.8,NA,NA,NA,NA,NA,"서울 종로구 청계천로 1","200명 이상 ~ 400명 미만","173,260,351","28.45 % (101 명)","25.07 % (89 명)"
"3010","파리크라상","제조/화학",2.8,NA,NA,NA,NA,NA,"경기 성남시 중원구 사기막골로31번길 18","1,000명 이상","1,770,512,869","36.74 % (2277 명)","37.06 % (2297 명)"
"3011","펜믹스","의료/제약/복지",2.8,NA,NA,NA,NA,NA,"충남 천안시 서북구 직산읍 거리막길 33",NA,"63,172,234",NA,NA
"3012","푸른기술","제조/화학",2.8,NA,NA,NA,NA,NA,"서울 서초구 효령로60길 23-10","100명 이상 ~ 200명 미만","23,217,760","75.17 % (109 명)","66.21 % (96 명)"
"3013","플라톤벤쳐스","제조/화학",2.8,NA,NA,NA,NA,NA,"서울 강남구 도산대로 317, 6층","40명 이상 ~ 70명 미만","100억원 ~ 500억원","58.00 % (29 명)","56.00 % (28 명)"
"3014","피플엑스","서비스업",2.8,NA,NA,NA,NA,NA,"서울 강남구 역삼로17길 16, 1층","20명 이상 ~ 40명 미만","10억원 ~ 50억원","50.00 % (8 명)","18.75 % (3 명)"
"3015","한국네트웍스","IT/웹/통신",2.8,NA,NA,NA,NA,NA,"경기 성남시 분당구 판교로 286","100명 이상 ~ 200명 미만","50,258,779","14.04 % (25 명)","23.03 % (41 명)"
"3016","한국백신","의료/제약/복지",2.8,NA,NA,NA,NA,NA,"경기 안산시 단원구 목내로 128","100명 이상 ~ 200명 미만","43,886,294","26.59 % (46 명)","14.45 % (25 명)"
"3017","헤리트","IT/웹/통신",2.8,NA,NA,NA,NA,NA,"경기 성남시 분당구 대왕판교로 660, A동 1008호","40명 이상 ~ 70명 미만","50억원 ~ 100억원","28.26 % (13 명)","10.87 % (5 명)"
"3018","후이즈","IT/웹/통신",2.8,NA,NA,NA,NA,NA,"서울 구로구 디지털로34길 43, 1004호","40명 이상 ~ 70명 미만","3,615,862","77.78 % (35 명)","24.44 % (11 명)"
"3019","건화트렐러보그","제조/화학",2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3020","경남기업","건설업",2.8,NA,NA,NA,NA,NA,"충남 아산시 청운로176번길 25, 2층","200명 이상 ~ 400명 미만","304,430,020","64.61 % (241 명)","40.48 % (151 명)"
"3021","금화피에스시","건설업",2.8,NA,NA,NA,NA,NA,"서울 강남구 테헤란로25길 15-4","700명 이상 ~ 1000명 미만","205,790,146","297.63 % (1006 명)","129.59 % (438 명)"
"3022","나우온플레이","IT/웹/통신",2.8,NA,NA,NA,NA,NA,"서울 금천구 가산디지털1로 137, 19층 1901호 1901-2-10호","1명 이상 ~ 20명 미만","10억원 ~ 50억원","- % (4 명)","- % (2 명)"
"3023","남광토건","건설업",2.8,NA,NA,NA,NA,NA,"경기 용인시 기흥구 흥덕중앙로 120, B동 122호","400명 이상 ~ 700명 미만","237,961,500","141.42 % (519 명)","52.04 % (191 명)"
"3024","네오넥스소프트","IT/웹/통신",2.8,NA,NA,NA,NA,NA,"서울 구로구 디지털로33길 28, 8층 808호","70명 이상 ~ 100명 미만","100억원 ~ 500억원","28.00 % (21 명)","32.00 % (24 명)"
"3025","대동하이렉스","제조/화학",2.8,NA,NA,NA,NA,NA,"인천 남동구 남동동로78번길 43","200명 이상 ~ 400명 미만","146,682,384","11.33 % (23 명)","10.34 % (21 명)"
"3026","대원씨앤씨","IT/웹/통신",2.8,NA,NA,NA,NA,NA,"서울 영등포구 국제금융로2길 37, 503호","70명 이상 ~ 100명 미만","100억원 ~ 500억원","72.00 % (54 명)","38.67 % (29 명)"
"3027","대창","제조/화학",2.8,NA,NA,NA,NA,NA,"경기 시흥시 공단1대로 391","200명 이상 ~ 400명 미만","421,320,232","18.73 % (65 명)","21.33 % (74 명)"
"3028","동문건설","건설업",2.8,NA,NA,NA,NA,NA,"서울 영등포구 의사당대로1길 25","200명 이상 ~ 400명 미만","345,764,821","66.37 % (150 명)","27.88 % (63 명)"
"3029","모커리한방병원","의료/제약/복지",2.8,NA,NA,NA,NA,NA,"서울 서초구 서초대로 338",NA,NA,NA,NA
"3030","서한워너터보시스템즈","제조/화학",2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3031","씨프로","제조/화학",2.8,NA,NA,NA,NA,NA,"경기 성남시 중원구 갈마치로 234, 605호","70명 이상 ~ 100명 미만","41,078,324","15.73 % (14 명)","16.85 % (15 명)"
"3032","아이앤아이컨설팅","기관/협회",2.8,NA,NA,NA,NA,NA,"서울 강남구 도곡로 603",NA,NA,NA,NA
"3033","아이티젠","IT/웹/통신",2.8,NA,NA,NA,NA,NA,"서울 영등포구 여의나루로 71, 1304호.1305호","40명 이상 ~ 70명 미만",NA,"29.41 % (15 명)","25.49 % (13 명)"
"3034","에너테크인터내셔널","제조/화학",2.8,NA,NA,NA,NA,NA,"충북 충주시 충주호수로 269","100명 이상 ~ 200명 미만","21,258,451","29.79 % (42 명)","24.82 % (35 명)"
"3035","와이피피","제조/화학",2.8,NA,NA,NA,NA,NA,"서울 금천구 디지털로9길 41, 4층","100명 이상 ~ 200명 미만","45,240,367","19.64 % (22 명)","29.46 % (33 명)"
"3036","이데일리","IT/웹/통신",2.8,NA,NA,NA,NA,NA,"서울 중구 통일로 92, 18, 19층","200명 이상 ~ 400명 미만","31,442,320","33.05 % (78 명)","24.58 % (58 명)"
"3037","케이엘넷","IT/웹/통신",2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3038","케이티엔지 소망화장품","제조/화학",2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
