"","unlist.company.","unlist.industry.","unlist.TPoint."
"237","에이치앤엠헤네스앤모리츠(주)","유통/무역/운송","3.2"
"238","롯데제과(주)","제조/화학","2.4"
"239","(주)이마트에브리데이","유통/무역/운송","2.6"
"240","(주)에이블씨엔씨","제조/화학","2.5"
"241","제이더블유중외제약(주)","의료/제약/복지","2.6"
"242","현대그린푸드(주)","서비스업","2.9"
"243","에이치케이이노엔(주)","의료/제약/복지","2.7"
"244","DB손해보험(주)","은행/금융업","3.0"
"245","한국화학연구원","기관/협회","3.7"
"246","삼성화재해상보험(주)","은행/금융업","3.3"
"247","(주)에코마케팅","미디어/디자인","2.4"
"248","(주)코리아센터","IT/웹/통신","2.6"
"249","케이에이(주)","서비스업","2.1"
"250","(주)엘엑스하우시스","제조/화학","3.2"
"251","(주)엘엑스판토스","유통/무역/운송","3.3"
"252","(주)우아한형제들","IT/웹/통신","3.6"
"253","(주)윕스","기관/협회","2.7"
"254","(주)케이티디에스","IT/웹/통신","3.0"
"255","금호타이어(주)","제조/화학","2.8"
"256","에이디티캡스(주)","서비스업","2.6"
"257","한국지엠(주)","제조/화학","3.5"
"258","한국항공우주산업(주)","제조/화학","3.7"
"259","부루벨코리아(주)","유통/무역/운송","2.8"
"260","(주)한화","제조/화학","3.0"
"261","소상공인시장진흥공단","기관/협회","3.1"
"262","케이텍맨파워(주)","서비스업","2.4"
"263","한국에스지에스(주)","제조/화학","3.0"
"264","롯데칠성음료(주)","제조/화학","2.6"
"265","(주)케이티엠앤에스","유통/무역/운송","2.3"
"266","(사)굿네이버스인터내셔날","유통/무역/운송","2.9"
"267","대상(주)","제조/화학","3.3"
"268","도쿄일렉트론코리아(주)","제조/화학","3.8"
"269","오비맥주(주)","제조/화학","3.2"
"270","(주)덴티움","의료/제약/복지","2.0"
"271","(주)만도","제조/화학","3.1"
"272","한국생산기술연구원","기관/협회","3.7"
"273","(주)신세계인터내셔날","유통/무역/운송","3.4"
"274","에스케이실트론(주)","제조/화학","2.9"
"275","(주)파리크라상","제조/화학","2.8"
"276","남양유업(주)","제조/화학","2.5"
"277","동우화인켐(주)","제조/화학","3.4"
"278","현대오토에버(주)","IT/웹/통신","3.5"
"279","(주)동진쎄미켐","제조/화학","2.2"
"280","(주)경동나비엔","제조/화학","2.6"
"281","유니셈(주)","제조/화학","2.4"
"282","한국생산성본부","기관/협회","3.4"
"283","한국전기안전공사","서비스업","2.9"
"284","(주)엠포스","미디어/디자인","2.7"
"285","한국단자공업(주)","제조/화학","2.5"
"286","(주)카페베네","제조/화학","2.8"
"287","(주)네패스","제조/화학","2.9"
"288","도로교통공단","기관/협회","3.5"
"289","(주)제니엘","서비스업","2.7"
"290","한화호텔앤드리조트(주)","서비스업","2.9"
"291","제너시스비비큐(주)","유통/무역/운송","2.0"
"292","(주)테크윙","제조/화학","2.1"
"293","현대트랜시스(주)","제조/화학","3.1"
"294","(주)모베이스전자","제조/화학","2.0"
"295","라인플러스(주)","IT/웹/통신","3.7"
"296","팬택(주)","제조/화학","3.2"
"297","맨파워코리아(주)","서비스업","2.8"
"298","주택관리공단(주)","건설업","2.4"
"299","(주)네이처리퍼블릭","제조/화학","2.3"
"300","(주)미디어윌","미디어/디자인","2.2"
"301","제너시스비비큐(주)","유통/무역/운송","2.0"
"302","(주)테크윙","제조/화학","2.1"
"303","현대트랜시스(주)","제조/화학","3.1"
"304","(주)모베이스전자","제조/화학","2.0"
"305","라인플러스(주)","IT/웹/통신","3.7"
"306","팬택(주)","제조/화학","3.2"
"307","맨파워코리아(주)","서비스업","2.8"
"308","주택관리공단(주)","건설업","2.4"
"309","(주)네이처리퍼블릭","제조/화학","2.3"
"310","(주)미디어윌","미디어/디자인","2.2"
"311","보령제약(주)","의료/제약/복지","3.2"
"312","(주)이글루시큐리티","IT/웹/통신","2.7"
"313","건강보험심사평가원","기관/협회","3.6"
"314","(주)스펙업애드","미디어/디자인","2.4"
"315","(주)한국코퍼레이션","서비스업","2.5"
"316","(주)우리홈쇼핑","유통/무역/운송","2.9"
"317","에스케이(주)","IT/웹/통신","3.6"
"318","영풍전자(주)","제조/화학","2.0"
"319","청호나이스(주)","제조/화학","2.3"
"320","(주)코스트코코리아","유통/무역/운송","3.0"
"321","(주)마이다스아이티","IT/웹/통신","3.3"
"322","이케아코리아(유)","유통/무역/운송","2.8"
"323","한국타이어(주)","제조/화학","2.9"
"324","넥슨네트웍스(주)","IT/웹/통신","2.9"
"325","세일즈웍스 코리아(유)","서비스업","3.1"
"326","웰컴저축은행(주)","은행/금융업","2.4"
"327","한국리서치(주)","기관/협회","2.9"
